Local time,Open,High,Low,Close,Volume
30.07.2024 23:00:00.000 GMT+0200,2.1211,2.1427,2.0201,2.0367,4.2884
31.07.2024 23:00:00.000 GMT+0200,2.0361,2.1232,1.9630,1.9711,5.367900000000001
01.08.2024 23:00:00.000 GMT+0200,1.9809,2.0202,1.9181,1.9721,3.9733
02.08.2024 23:00:00.000 GMT+0200,1.9721,1.9721,1.9721,1.9721,0
03.08.2024 23:00:00.000 GMT+0200,1.9721,1.9721,1.9721,1.9721,0
04.08.2024 23:00:00.000 GMT+0200,1.9429,1.9701,1.8799,1.9471,4.2781
05.08.2024 23:00:00.000 GMT+0200,1.9511,2.0299,1.8990,2.0157,3.7276000000000002
06.08.2024 23:00:00.000 GMT+0200,2.0160,2.1177,2.0039,2.0970,5.0539000000000005
07.08.2024 23:00:00.000 GMT+0200,2.0917,2.1759,2.0260,2.1480,4.340199999999999
08.08.2024 23:00:00.000 GMT+0200,2.1430,2.1852,2.1010,2.1550,3.3063
09.08.2024 23:00:00.000 GMT+0200,2.1550,2.1550,2.1550,2.1550,0
10.08.2024 23:00:00.000 GMT+0200,2.1550,2.1550,2.1550,2.1550,0
11.08.2024 23:00:00.000 GMT+0200,2.1691,2.2502,2.1530,2.1699,3.8458
12.08.2024 23:00:00.000 GMT+0200,2.1731,2.2361,2.1320,2.1529,3.4627
13.08.2024 23:00:00.000 GMT+0200,2.1510,2.2732,2.1422,2.2247,4.4624
14.08.2024 23:00:00.000 GMT+0200,2.2219,2.2979,2.1861,2.2061,3.6877
15.08.2024 23:00:00.000 GMT+0200,2.2029,2.2102,2.1079,2.1220,3.4463
16.08.2024 23:00:00.000 GMT+0200,2.1220,2.1220,2.1220,2.1220,0
17.08.2024 23:00:00.000 GMT+0200,2.1220,2.1220,2.1220,2.1220,0
18.08.2024 23:00:00.000 GMT+0200,2.1159,2.2482,2.0929,2.2482,4.6442000000000005
19.08.2024 23:00:00.000 GMT+0200,2.2400,2.2751,2.1700,2.1989,3.2977000000000003
20.08.2024 23:00:00.000 GMT+0200,2.1991,2.2267,2.1300,2.1822,3.4146
21.08.2024 23:00:00.000 GMT+0200,2.1857,2.1942,2.0300,2.0530,4.0326
22.08.2024 23:00:00.000 GMT+0200,2.0571,2.0687,2.0040,2.0270,3.2818999999999994
23.08.2024 23:00:00.000 GMT+0200,2.0270,2.0270,2.0270,2.0270,0
24.08.2024 23:00:00.000 GMT+0200,2.0270,2.0270,2.0270,2.0270,0
25.08.2024 23:00:00.000 GMT+0200,2.1540,2.1847,2.1119,2.1152,3.1872
26.08.2024 23:00:00.000 GMT+0200,2.1170,2.1212,2.0430,2.0759,3.6061
27.08.2024 23:00:00.000 GMT+0200,2.0771,2.1377,2.0179,2.0910,3.4789000000000003
28.08.2024 23:00:00.000 GMT+0200,2.0937,2.1462,2.0239,2.1362,3.601899999999999
29.08.2024 23:00:00.000 GMT+0200,2.1392,2.1680,2.0909,2.1407,2.8143999999999996
30.08.2024 23:00:00.000 GMT+0200,2.1407,2.1407,2.1407,2.1407,0
31.08.2024 23:00:00.000 GMT+0200,2.1407,2.1407,2.1407,2.1407,0
01.09.2024 23:00:00.000 GMT+0200,2.1379,2.1997,2.1331,2.1861,1.6416999999999997
02.09.2024 23:00:00.000 GMT+0200,2.1871,2.2227,2.0730,2.1922,4.952799999999999
03.09.2024 23:00:00.000 GMT+0200,2.1869,2.2677,2.1289,2.1339,3.3987
04.09.2024 23:00:00.000 GMT+0200,2.1340,2.2837,2.1119,2.2591,4.545599999999999
05.09.2024 23:00:00.000 GMT+0200,2.2550,2.2880,2.2300,2.2841,3.2265999999999995
06.09.2024 23:00:00.000 GMT+0200,2.2841,2.2841,2.2841,2.2841,0
07.09.2024 23:00:00.000 GMT+0200,2.2841,2.2841,2.2841,2.2841,0
08.09.2024 23:00:00.000 GMT+0200,2.2248,2.2449,2.1359,2.1407,4.287799999999999
